date, value
2020-12-18 06:50, 11472
2020-12-17 00:54, 11470
2020-12-16 22:55, 10611
2020-12-16 19:23, 10606
2020-12-15 19:10, 11457
2020-12-15 13:48, 11459
2020-12-15 09:50, 11458
2020-12-14 15:19, 10605
2020-12-11 08:02, 11456
2020-12-11 07:24, 11456
2020-12-11 02:26, 11456
2020-12-10 20:38, 11456
2020-12-10 17:20, 9584
2020-12-10 08:30, 11455
2020-12-10 08:21, 11455
2020-12-10 07:55, 10605
2020-12-10 07:18, 9584
2020-12-09 16:32, 11454
2020-12-09 09:53, 11454
2020-12-09 02:13, 11451
2020-12-09 00:31, 9583
2020-12-08 20:12, 10604
2020-12-08 04:20, 11451
2020-12-08 04:20, 11451
2020-12-08 03:30, 11451
2020-12-07 16:41, 10604
2020-12-07 14:50, 11450
2020-12-07 11:27, 9583
2020-12-07 11:27, 9583
2020-12-05 16:04, 10604
2020-12-05 02:06, 9583
2020-12-04 00:18, 11450
2020-11-30 16:14, 11455
2020-11-26 08:00, 10595
2020-11-25 13:23, 9574
2020-11-20 11:36, 11449
2020-11-18 11:21, 11443
2020-11-18 08:58, 9572
2020-11-17 19:59, 11443
2020-11-17 14:24, 9572
2020-11-12 06:25, 11442
2020-11-11 20:14, 9572
2020-11-11 19:30, 10588
2020-11-11 09:15, 11441
2020-11-10 16:44, 11440
2020-11-10 08:49, 11438
2020-11-09 10:21, 11438
2020-11-09 07:43, 11437
2020-11-06 13:49, 11437
2020-11-05 14:37, 11436
2020-11-05 08:22, 10582
2020-11-04 17:40, 9568
2020-11-03 20:33, 11431
2020-11-03 17:28, 10578
2020-11-03 14:28, 11427
2020-11-03 10:17, 10576
2020-11-02 09:55, 11419
2020-10-29 17:58, 11431
2020-10-29 16:06, 11438
2020-10-29 12:35, 9565
2020-10-29 09:07, 10574
2020-10-29 07:28, 9565
2020-10-29 02:33, 10573
2020-10-29 02:19, 8643
2020-10-28 20:18, 10571
2020-10-28 19:25, 10571
2020-10-28 15:40, 11428
2020-10-28 12:37, 9564
2020-10-28 07:03, 10571
2020-10-28 01:48, 11418
2020-10-27 14:49, 11398
2020-10-27 06:47, 11398
2020-10-27 02:37, 10571
2020-10-26 15:57, 11399
2020-10-26 13:39, 11388
2020-10-26 13:01, 11388
2020-10-26 12:58, 10571
2020-10-26 12:58, 10571
2020-10-26 10:25, 9564
2020-10-26 10:25, 9564
2020-10-26 10:22, 10571
2020-10-26 09:07, 8643
2020-10-24 05:40, 11382
2020-10-23 11:34, 11367
2020-10-23 10:03, 11369
2020-10-22 18:16, 10571
2020-10-21 13:25, 10568
2020-10-21 08:20, 11361
2020-10-21 06:50, 11360
2020-10-20 12:28, 11360
2020-10-19 16:52, 10567
2020-10-19 09:25, 11357
2020-10-17 05:51, 10578
2020-10-16 13:44, 11346
2020-10-15 18:18, 11317
2020-10-15 07:27, 8643
2020-10-14 13:13, 11303
2020-10-13 15:59, 11300
2020-10-13 10:18, 9561
2020-10-13 07:58, 11297
2020-10-13 07:58, 11297
2020-10-13 07:29, 11297
2020-10-09 18:22, 11297
2020-10-08 13:59, 11291
2020-10-07 18:04, 9560
2020-10-07 02:24, 11292
2020-10-06 13:35, 10564
2020-10-05 08:38, 11328
2020-10-02 08:14, 11312
2020-10-02 01:16, 9558
2020-10-01 23:58, 11311
2020-10-01 08:43, 9557
2020-09-30 08:32, 11307
2020-09-29 08:46, 11297
2020-09-28 10:21, 11296
2020-09-28 07:14, 11294
2020-09-25 19:40, 9556
2020-09-24 18:04, 11294
2020-09-24 09:42, 11257
2020-09-23 12:36, 11257
2020-09-22 14:45, 11258
2020-09-22 08:10, 10556
2020-09-22 05:32, 10556
2020-09-22 04:29, 10556
2020-09-21 23:45, 11255
2020-09-21 14:08, 9553
2020-09-20 16:03, 11229
2020-09-18 08:09, 11218
2020-09-17 12:22, 11214
2020-09-17 08:47, 9539
2020-09-17 07:31, 11207
2020-09-17 06:22, 10542
2020-09-17 05:23, 9539
2020-09-16 16:39, 11183
2020-09-16 16:20, 8642
2020-09-16 13:22, 11183
2020-09-16 11:31, 11185
2020-09-16 09:53, 11185
2020-09-16 09:38, 9539
2020-09-16 07:56, 8642
2020-09-15 15:48, 9539
2020-09-15 12:55, 10541
2020-09-15 11:48, 10541
2020-09-15 06:48, 10541
2020-09-14 14:08, 11183
2020-09-14 11:38, 9539
2020-09-14 11:09, 9539
